date,average_price,total_volume,small_hass,large_hass,xl_hass,total_bags,small_bags,large_bags,xlarge_bags,type,year,city,state,region,total_US_bool,month,day
2015-01-04,0.85,2682159.95,1837999.65,524430.47,64225.78,255504.05,215571.8,36981.72,2950.53,conventional,2015,Los Angeles,California,West,False,1,4
2015-01-04,1.25,54495.54,47721.51,1723.4,0.0,5050.63,5050.63,0.0,0.0,organic,2015,Los Angeles,California,West,False,1,4
2015-01-04,1.05,430138.88,110693.69,270107.61,9737.5,39600.08,39600.08,0.0,0.0,conventional,2015,Sacramento,California,West,False,1,4
2015-01-04,1.33,9213.49,3727.52,4327.52,0.0,1158.45,1158.45,0.0,0.0,organic,2015,Sacramento,California,West,False,1,4
2015-01-04,0.94,461607.33,244152.26,165299.33,15302.75,36852.99,30884.29,5595.0,373.7,conventional,2015,San Diego,California,West,False,1,4
2015-01-04,1.23,19089.36,17522.46,735.22,2.87,828.81,828.81,0.0,0.0,organic,2015,San Diego,California,West,False,1,4
2015-01-04,0.99,907795.89,179507.69,637000.1,8803.79,82484.31,82033.71,444.44,6.16,conventional,2015,San Francisco,California,West,False,1,4
2015-01-04,1.18,22630.58,13175.57,9028.34,0.0,426.67,426.67,0.0,0.0,organic,2015,San Francisco,California,West,False,1,4
2015-01-11,0.85,2713699.6,1786326.65,617233.39,58892.91,251246.65,222971.68,25111.74,3163.23,conventional,2015,Los Angeles,California,West,False,1,11
2015-01-11,1.08,60232.63,52087.31,2063.44,0.0,6081.88,6081.88,0.0,0.0,organic,2015,Los Angeles,California,West,False,1,11
2015-01-11,1.09,429492.28,109368.41,271300.08,5094.23,43729.56,43722.89,6.67,0.0,conventional,2015,Sacramento,California,West,False,1,11
2015-01-11,1.27,7598.26,4243.14,3033.84,0.0,321.28,321.28,0.0,0.0,organic,2015,Sacramento,California,West,False,1,11
2015-01-11,0.82,544667.18,303369.02,192913.11,12900.65,35484.4,31807.96,3271.85,404.59,conventional,2015,San Diego,California,West,False,1,11
2015-01-11,1.05,20089.52,18294.44,767.68,1.44,1025.96,1025.96,0.0,0.0,organic,2015,San Diego,California,West,False,1,11
2015-01-11,1.03,916450.76,155455.32,670522.75,4107.26,86365.43,85706.54,658.89,0.0,conventional,2015,San Francisco,California,West,False,1,11
2015-01-11,1.12,29676.78,17907.49,11586.46,0.0,182.83,182.83,0.0,0.0,organic,2015,San Francisco,California,West,False,1,11
2015-01-18,0.89,2800679.5,1925013.31,526106.8,59364.23,290195.16,260857.96,26671.18,2666.02,conventional,2015,Los Angeles,California,West,False,1,18
2015-01-18,1.29,43649.12,33738.87,1368.91,0.0,8541.34,8541.34,0.0,0.0,organic,2015,Los Angeles,California,West,False,1,18
2015-01-18,1.22,367047.36,83097.77,238956.51,5672.46,39320.62,39320.62,0.0,0.0,conventional,2015,Sacramento,California,West,False,1,18
2015-01-18,1.13,37233.34,15363.18,20986.36,0.0,883.8,883.8,0.0,0.0,organic,2015,Sacramento,California,West,False,1,18
2015-01-18,1.01,461063.73,250311.74,163944.2,14125.01,32682.78,27844.81,4411.36,426.61,conventional,2015,San Diego,California,West,False,1,18
2015-01-18,1.29,14473.73,12300.47,580.15,0.0,1593.11,1593.11,0.0,0.0,organic,2015,San Diego,California,West,False,1,18
2015-01-18,1.22,753746.51,107566.95,554501.21,12868.74,78809.61,78241.87,515.56,52.18,conventional,2015,San Francisco,California,West,False,1,18
2015-01-18,1.27,41482.48,26336.41,14789.4,0.0,356.67,356.67,0.0,0.0,organic,2015,San Francisco,California,West,False,1,18
2015-01-25,0.96,2329987.29,1518406.36,456562.55,60922.43,294095.95,255279.65,36398.19,2418.11,conventional,2015,Los Angeles,California,West,False,1,25
2015-01-25,1.23,38078.07,28037.64,1355.8,0.0,8684.63,8684.63,0.0,0.0,organic,2015,Los Angeles,California,West,False,1,25
